ds,yhat,yhat_lower,yhat_upper,Producto,cambio,movimiento
2025-09-06,9999.695662728383,9994.677245859139,10004.499567678671,Aguacate Papelillo,0.7496818485251424,subió
2025-09-07,9290.546053802365,9285.89322880524,9295.053173648772,Aguacate Papelillo,-709.1496089260181,bajó
2025-09-08,10000.024098016072,9995.091490990671,10004.675355454334,Aguacate Papelillo,709.4780442137071,subió
2025-09-09,9290.54776766445,9285.4360461295,9295.606809779874,Aguacate Papelillo,-709.4763303516229,bajó
2025-09-10,9999.861786446703,9994.686094803395,10004.723618479899,Aguacate Papelillo,709.3140187822537,subió
2025-09-11,10000.109124470728,9995.255503258688,10005.095384755887,Aguacate Papelillo,0.24733802402442961,subió
2025-09-12,9998.950261979295,9993.750230035077,10004.040952588615,Aguacate Papelillo,-1.1588624914329557,bajó
2025-09-13,9999.699071473096,9994.345440823437,10004.355779336667,Aguacate Papelillo,0.7488094938016729,subió
2025-09-14,9290.54830699995,9285.923304803106,9295.796156310895,Aguacate Papelillo,-709.1507644731464,bajó
2025-09-15,10000.024920551325,9994.997796113334,10004.944493166091,Aguacate Papelillo,709.4766135513746,subió
2025-09-16,9290.54690027092,9285.639597674932,9295.664583304633,Aguacate Papelillo,-709.478020280405,bajó
2025-09-17,9999.858993402348,9994.988945734516,10005.21428639204,Aguacate Papelillo,709.3120931314279,subió
2025-09-18,10000.104200954967,9995.169467345664,10005.046056282545,Aguacate Papelillo,0.2452075526198314,subió
2025-09-19,9998.943040883843,9994.18174728007,10003.870581592717,Aguacate Papelillo,-1.161160071123959,bajó
2025-09-20,9999.689429416027,9994.691009027349,10004.4197879473,Aguacate Papelillo,0.7463885321831185,subió
2025-09-21,9290.53616938656,9285.333763277253,9295.437567474968,Aguacate Papelillo,-709.1532600294668,bajó
2025-09-22,10000.010265465968,9994.999562722454,10005.125651950373,Aguacate Papelillo,709.4740960794079,subió
2025-09-23,9290.529761092026,9285.7771204121,9295.310436015076,Aguacate Papelillo,-709.4805043739416,bajó
2025-09-24,9999.839460025241,9994.879661375962,10005.275826437386,Aguacate Papelillo,709.3096989332153,subió
2025-09-25,10000.082419561262,9994.792394420681,10005.278871713635,Aguacate Papelillo,0.2429595360208623,subió
2025-09-26,9998.91921221097,9993.775937494474,10003.74065242518,Aguacate Papelillo,-1.1632073502914864,bajó
2025-09-27,9999.663805612796,9994.744625801011,10004.748351830794,Aguacate Papelillo,0.7445934018251137,subió
2025-09-28,9290.509049422979,9285.22257779118,9295.338288232057,Aguacate Papelillo,-709.1547561898169,bajó
2025-09-29,9999.981989292632,9995.1379164442,10005.30405979938,Aguacate Papelillo,709.4729398696527,subió
2025-09-30,9290.50070264297,9285.523184970481,9296.118704482535,Aguacate Papelillo,-709.4812866496613,bajó
2025-10-01,9999.810019255772,9995.354587325359,10005.049727196341,Aguacate Papelillo,709.3093166128019,subió
2025-10-02,10000.053013720742,9995.256989537882,10004.819971537232,Aguacate Papelillo,0.242994464970252,subió
2025-10-03,9998.890266601393,9993.906896722792,10003.634551699597,Aguacate Papelillo,-1.1627471193496604,bajó
2025-10-04,9999.635744054927,9994.761091479893,10004.502277987196,Aguacate Papelillo,0.7454774535344768,subió
2025-10-05,9290.482284724612,9285.380284988307,9295.38825347248,Aguacate Papelillo,-709.153459330315,bajó
2025-10-06,9999.956913930106,9995.052813752196,10004.468169602153,Aguacate Papelillo,709.4746292054933,subió
2025-10-07,9290.477679950181,9285.319886217656,9295.378929423103,Aguacate Papelillo,-709.4792339799242,bajó
2025-10-08,9999.789375344048,9994.775984202835,10004.939400100386,Aguacate Papelillo,709.3116953938661,subió
2025-10-09,10000.035030364608,9995.11850440236,10005.149937189783,Aguacate Papelillo,0.2456550205606618,subió
2025-10-10,9998.8751752588,9993.802920722184,10004.09044074887,Aguacate Papelillo,-1.1598551058086741,bajó
2025-10-11,9999.623721208969,9994.629754538219,10004.712797350801,Aguacate Papelillo,0.7485459501695004,subió
2025-10-12,9290.473448662115,9285.619315849572,9295.367851033396,Aguacate Papelillo,-709.1502725468545,bajó
2025-10-13,9999.95132302283,9994.90948678867,10005.070930093634,Aguacate Papelillo,709.4778743607148,subió
2025-10-14,9290.475332517268,9285.57129994947,9295.623157183847,Aguacate Papelillo,-709.4759905055616,bajó
2025-10-15,9999.790211055479,9994.842693061357,10005.090405377927,Aguacate Papelillo,709.3148785382109,subió
2025-10-16,10000.038933136884,9995.340157421395,10005.15210363352,Aguacate Papelillo,0.24872208140550356,subió
2025-10-17,9998.881977582581,9993.764142915077,10003.50278184937,Aguacate Papelillo,-1.15695555430284,bajó
2025-10-18,9999.633209739251,9994.818422820168,10004.580287253666,Aguacate Papelillo,0.7512321566700848,subió
2025-10-19,9290.485370906408,9285.49172003196,9295.48057842281,Aguacate Papelillo,-709.1478388328433,bajó
2025-10-20,9999.96539495893,9994.85627248481,10004.899722757948,Aguacate Papelillo,709.4800240525219,subió
2025-10-21,9290.491246862755,9285.74447214874,9295.050123130399,Aguacate Papelillo,-709.4741480961748,bajó
2025-10-22,9999.807645983838,9994.760040927209,10004.887694895178,Aguacate Papelillo,709.3163991210822,subió
2025-10-23,10000.057561156565,9995.464314196162,10005.284357032935,Aguacate Papelillo,0.24991517272792407,subió
2025-10-24,9998.901474354261,9993.705493427844,10004.120403512969,Aguacate Papelillo,-1.156086802304344,bajó
2025-10-25,9999.653262517077,9994.499016816293,10004.688726036024,Aguacate Papelillo,0.751788162815501,subió
2025-10-26,9290.505686419678,9285.664692489228,9295.474232334933,Aguacate Papelillo,-709.147576097399,bajó
2025-10-27,9999.985706459292,9994.765873362347,10004.898127435195,Aguacate Papelillo,709.4800200396148,subió
2025-10-28,9290.511320170113,9285.46588052867,9295.684368072196,Aguacate Papelillo,-709.4743862891792,bajó
2025-10-29,9999.827284339332,9994.463222334289,10004.860981003958,Aguacate Papelillo,709.3159641692182,subió
2025-10-30,10000.076608776493,9994.919519298943,10005.260086050812,Aguacate Papelillo,0.24932443716170383,subió
2025-10-31,9998.919818535433,9994.207091664024,10003.880775458263,Aguacate Papelillo,-1.156790241060662,bajó
2025-11-01,9999.67083433368,9995.131121976678,10005.014369527998,Aguacate Papelillo,0.7510157982469536,subió
2025-11-02,9290.522459929934,9285.378082391222,9295.634900175319,Aguacate Papelillo,-709.148374403745,bajó
2025-11-03,10000.001696495026,9994.64722260968,10004.85240861139,Aguacate Papelillo,709.4792365650919,subió
2025-11-04,9290.526578790148,9285.683970239916,9295.810933842142,Aguacate Papelillo,-709.4751177048784,bajó
